year,outcome,cinc_a,irst_prop_a,irst_raw_a,milex_prop_a,milex_raw_a,milper_prop_a,milper_raw_a,pec_prop_a,pec_raw_a,tpop_prop_a,tpop_raw_a,upop_prop_a,upop_raw_a,cinc_b,irst_prop_b,irst_raw_b,milex_prop_b,milex_raw_b,milper_prop_b,milper_raw_b,pec_prop_b,pec_raw_b,tpop_prop_b,tpop_raw_b,upop_prop_b,upop_raw_b,capratio_a
1898,VictoryA,0.0821318,0.07187384361390226,2525,0.12425289192391145,37337,0.11508006334682386,654,0.06931428323969212,43216,0.036599783908540136,38820,0.07567012178537971,5008,0.1574313,0.24901084512254135,8748,0.12892522929063002,38741,0.05824388527186345,331,0.2736515584326016,170616,0.03807150628569705,40381,0.19668489921730983,13017,0.34283994488299746
1822,VictoryA,0.1319189,0.16144349477682812,170,0.22495147425824938,9735,0.10141903171953255,243,0.04100115264284538,1245,0.1287411464252316,30700,0.13395683453237411,931,0.0323431,0.00949667616334283,10,NA,NA,0.0659432387312187,158,0,0,0.0485777667814294,11584,0.037697841726618705,262,0.8031005345119382
1964,VictoryA,0.0288329,0.0456386059228666,19780,0.033346563583073606,4964419,0.03213936373375565,690,0.031191079238649944,151682,0.015003888401630892,48310,0.01567778305953545,8674,3.6e-5,0,0,1.3440943185845168e-5,2001,4.657878801993572e-5,1,2.6732508148788204e-6,13,1.5342415380678246e-4,494,0,0,0.9987529833142239
1909,VictoryA,0.1352272,0.21841391475882477,11515,0.14122024204224046,58567,0.10507246376811594,667,0.15542941979905672,168762,0.05424486939583763,63717,0.13698226787934306,12561,6.573e-4,0,0,NA,NA,0.001890359168241966,12,0,0,0.001396198593925855,1640,0,0,0.9951628037046167
1914,VictoryA,0.2063641,0.4076096229312404,23890,0.03414630594027454,253205,0.02356950163282692,166,0.4657059429203292,556778,0.08127469849285379,99111,0.22587825413723023,23340,5.795e-4,0,0,7.187844263014684e-5,533,8.519096975720574e-4,6,0,0,0.001566270889420455,1910,9.87128617052163e-4,102,0.9971997201169787
1939,VictoryA,0.0270297,0.017044945497984174,2283,0.02018180970184971,669412,0.0510230965135681,581,0.008552856306836956,16851,0.028650012951732345,44020,0.03672520175112358,8196,2.976e-4,0,0,2.1055756239463642e-4,6984,7.903749890225696e-4,9,8.83150553314124e-5,174,6.963996787449706e-4,1070,0,0,0.9891097913075936
1911,VictoryA,0.0332631,0.012514665623777864,736,0.06393480082260644,29379,0.04526364909006066,291,0.008787110739206506,10165,0.028943221878004487,34680,0.04013536720880897,3973,0.0180268,0,0,0.02420595627999086,11123,0.05226318245450303,336,6.241312300744808e-4,722,0.021339366787736354,25569,0.009728255379331245,963,0.6485311923010183
1853,VictoryA,0.0787437,0.13021762397431325,730,0.05604644369796991,4605,0.0070659488559892325,21,0.10863747758237012,11570,0.0737979445769866,25736,0.09669704608622584,1496,0.0872489,0.04298965394220478,241,0.13311182513022735,10937,0.17294751009421266,514,0.011333226918057108,1207,0.10571320425766195,36866,0.057397711847973626,888,0.4743807856494808
1931,VictoryA,0.0411423,0.027900016298469426,1883,0.032856701945838555,222176,0.04920795416245366,292,0.024232812014945142,37235,0.04640885623088365,65457,0.06624736735812585,11481,0.1254375,2.2225185580299596e-4,15,0.010852016624151929,73381,0.28648466464442196,1700,0.01792453628348648,27542,0.34530948454456123,487039,0.09183231874441014,15915,0.24698252729322523
1939,VictoryA,0.1779559,0.17719127967746753,23733,0.36178275325538906,12000000,0.2415034688680074,2750,0.1294526141510157,255050,0.051935795854664644,79798,0.10586949021154182,23627,9.828e-4,0,0,3.385683599215016e-4,11230,0.002371124967067709,27,9.257854076120472e-4,1824,0.001763778625606421,2710,4.973764512414248e-4,111,0.9945076162954128
1913,VictoryB,0.2199113,0.4300782993224877,31803,0.10616312198155389,62825,0.02267739575713241,155,0.4627976993801159,600107,0.08018503795438875,97225,0.21756629243775155,22596,0.005346,0,0,0.007567026824248283,4478,0.004535479151426481,31,0.0011251690838393637,1459,0.012676205022977168,15370,0.00617188854012209,641,0.9762671398440805
1935,VictoryB,0.0468279,0.04767986377181779,4704,0.025608949391187283,295113,0.04800936768149883,410,0.030488993729615232,50666,0.04711848815880429,69254,0.08206189561041755,16098,0.1109026,5.06801273084798e-4,50,0.012752191698883262,146954,0.1990632318501171,1700,0.02203540781571568,36618,0.3428279257360265,503883,0.08823004654150247,17308,0.2968855104117466
1821,VictoryA,0.0985494,0.06672845227062095,72,0.16818872040550079,7864,0.1205298013245033,273,0.0033791775081945053,100,0.13400088352230893,30940,0.0984692375625552,669,0.0307325,0,0,NA,NA,0.02163355408388521,49,NA,NA,0.030204336188900536,6974,0.0710921401236385,483,0.7622830419416793
1926,VictoryA,0.2632676,0.5387520723767278,49069,0.1208035151405987,558004,0.040799471423852,247,0.5526879782012533,852304,0.08787062478808343,117397,0.23869184165637317,32464,1.707e-4,0,0,2.8576970771820683e-5,132,4.955401387512388e-4,3,0,0,4.999921408420975e-4,668,0,0,0.9993520304374875
1906,VictoryB,0.0177462,0,0,NA,NA,0.05193499748701625,310,6.240498585145976e-4,610,0.0253746939147936,28922,0.010797037037037037,911,0.1233785,0.13098467922119375,6566,0.1288518821330044,53899,0.0643323839839169,384,0.20494001960130376,200326,0.03804186184031016,43360,0.17312,14607,0.12574836297260508
1903,VictoryA,0.2104965,0.4165162454873646,14768,0.13028326067951637,43814,0.01818181818181818,106,0.42169429093246247,356268,0.07192921263417815,80632,0.2043739013545652,15812,0.0015275,0,0,NA,NA,0.002572898799313894,15,3.90602344324252e-5,33,0.0036039540014148196,4040,0.0014217764450418777,110,0.9927956269101612
1838,VictoryA,0.136514,0.13472706155632985,348,0.2258478010895587,11981,0.1413296141329614,304,0.08383139966404937,4292,0.11348179891656619,33790,0.11986628462273162,1255,0.0096588,0,0,NA,NA,0.011622501162250116,25,1.953201296925661e-5,1,0.02308929764875385,6875,0.013562559694364852,142,0.9339220429519035
1911,VictoryA,0.1200893,0.06714730237540596,3949,0.13991055787079856,64291,0.2219629802457614,1427,0.04104916286885983,47486,0.13678760282021152,163900,0.11367814930801091,11253,0.0037267,0,0,NA,NA,0.004666355576294913,30,9.508924557921453e-6,11,0.008896618950966778,10660,0.0050611172845742,501,0.9699013051624992
1908,VictoryA,0.1208453,0.06680532857921062,2698,0.15072949728678203,58887,0.22375243033052494,1381,0.04253640161302007,44039,0.13151551581247697,152500,0.1097325024185021,9755,0.0053671,0,0,0.012900583597829425,5040,0.004860661049902786,30,1.352232390795161e-5,14,0.008994798884748426,10430,0.005433193097707485,483,0.9574756521546219
1821,VictoryA,0.0985494,0.06672845227062095,72,0.16818872040550079,7864,0.1205298013245033,273,0.0033791775081945053,100,0.13400088352230893,30940,0.0984692375625552,669,0.0108699,0.009267840593141797,10,0.019911457108026605,931,0.018984547461368653,43,0,0,0.01705544535587759,3938,0,0,0.9006582933723758
1939,VictoryA,0.1381359,0.1311333432880394,17564,0.18041270789657488,5984123,0.15710898392904188,1789,0.09192632900200434,181115,0.11084795447238287,170315,0.15738604030093517,35124,0.0183111,0.003762878901000448,504,0.02919803888422943,968472,0.024150346886800737,275,0.012121495123130982,23882,0.02309573738312526,35486,0.01753812099242285,3914,0.882956528408982
1939,VictoryA,0.1381359,0.1311333432880394,17564,0.18041270789657488,5984123,0.15710898392904188,1789,0.09192632900200434,181115,0.11084795447238287,170315,0.15738604030093517,35124,0.0017939,5.748842765417352e-4,77,0.002064905212767904,68491,0.0032493193993150082,37,0.001103938191642655,2175,0.002408111038650833,3700,0.0013621841547512893,304,0.9871800002572719
1956,VictoryB,0.1701965,0.17413349829613922,48698,0.2761650437645075,26749408,0.24562924432885422,5100,0.13472526200521923,467891,0.07697390741140549,199658,0.11355231499328698,42711,0.0139219,0.01792897779080952,5014,0.008310532092100056,804960,0.014448779078167894,300,0.018393130635916043,63878,0.010723483329735065,27815,0.01372645459741848,5163,0.9243861558649218
1876,VictoryA,0.1015464,0.03305230172349474,443,0.1873353795250223,34424,0.19381768953068593,859,0.012421798787951835,3298,0.10863286607730761,91400,0.07401861475674565,2521,0.044463,7.461016190405133e-4,10,0.10726180369620583,19710,0.09273465703971119,411,3.276823816106154e-4,87,0.040692160130074186,34237,0.025015414427904517,852,0.6954785102876937
1827,VictoryA,0.1593984,0.11955815464587394,184,0.18879677991278931,7880,0.3359880537580886,675,7.411208026908386e-4,26,0.2115495017969911,53800,0.09975669099756691,820,0.0633493,0,0,NA,NA,0.09507217521154804,191,8.551393877201984e-5,3,0.11319471204888445,28787,0.1083941605839416,891,0.7156006549113638
1961,VictoryB,0.0487279,0.011661208208531185,4084,0.004982952887419721,638173,0.040746582544689804,775,0.011845562410391374,49002,0.14822022282018885,442372,0.07491083746359409,36652,0.1049435,0.024841457251278478,8700,0.06209980820910086,7953200,0.1156677181913775,2200,0.049938852801687514,206584,0.22428506188016387,669392,0.1528281641203822,74775,0.3170915342737816
1883,VictoryB,0.1629529,9.458948164964056e-4,20,NA,NA,0.22999080036798528,1000,1.9877343538803226e-4,75,0.4206761266712186,373361,NA,NA,0.110877,0.09785281876655316,2069,0.2245921474874181,38423,0.11867525298988041,516,0.08612720439739845,32497,0.0426579052331988,37860,0.09535689199990312,3937,0.5950880455348375
1858,VictoryB,0.2895613,0.5141309122858398,3511,0.19127036979003448,19531,0.0916222152494509,292,0.5702602402573855,73912,0.07661646160945845,28390,0.2934676102340773,5391,0.0834308,0.09371796749158003,640,0.0714607489815105,7297,0.009099466582993411,29,0.12356204334508646,16015,0.08058896712157972,29862,0.12215568862275449,2244,0.7763201955215673
1881,VictoryB,0.1105362,0.09792315680166147,1886,0.21255702777554328,36993,0.12639405204460966,578,0.08663886778451155,29421,0.04275740320720335,37590,0.09694652623050436,3829,0.0223994,5.192107995846313e-4,10,0.0322515772417518,5613,0.05488738246227859,251,3.09203668038942e-4,105,0.02895878500271855,25459,0.01747012355681588,690,0.8315018700784441
1919,VictoryB,0.0449633,0.012909142212189617,732,0.017418493844482817,273088,0.15861686097232136,2000,0.005991379240941682,7442,0.029476540122662286,36070,0.04536720251206824,4840,0.0058084,0,0,0.002138531395073456,33528,0.010230787532714728,129,4.516479110680306e-4,561,0.015524420091771983,18997,0.006505131930449454,694,0.8855976853246986
1849,VictoryA,0.0897646,0.03355544978581628,141,0.18009125616910326,15472,0.1476655808903366,408,0.01103282939478448,902,0.10807025872300023,36424,0.058171948356807515,793,0.0034184,0,0,0.002607319117236242,224,0.0021715526601520088,6,NA,NA,0.004610728696890577,1554,0.0077024647887323945,105,0.9633151969779895
1913,VictoryA,0.1127475,0.10530515098651737,7787,0.11445846246396453,67734,0.07798098024871983,533,0.17001312568732485,220455,0.03764758665509836,45648,0.17107974349592714,17768,3.667e-4,0,0,2.1122785909580958e-4,125,0.0010241404535479151,7,0,0,9.649420869800447e-4,1170,0,0,0.9967581435398916
